,markers,antimarkers,sum
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_51.txt,37,12,25
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_3.txt,40,15,25
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_85.txt,41,16,25
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_21.txt,41,17,24
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_7.txt,41,17,24
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_31.txt,41,17,24
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_25.txt,36,12,24
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_12.txt,41,17,24
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_66.txt,39,15,24
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_71.txt,38,14,24
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_56.txt,42,18,24
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_130.txt,39,16,23
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_76.txt,37,14,23
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_83.txt,37,14,23
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_41.txt,38,15,23
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_108.txt,35,12,23
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_117.txt,44,21,23
/home/ulrike/Dokumente/Rostock/Lehre/SS_22/Kempowski/stylo_4/sample_dump/aussicht_1981_43.txt,42,20,22
