"alles-umsonst_2006" "aus-großer-zeit_1978" "ein-kapitel-für-sich_1975" "heile-welt_1998" "herzlich-willkommen_1984" "hundstage_1988" "letzte-grüße_2003" "mark-und-bein_1991" "schöne-aussicht_1981" "tadellöser-wolff_1971" "uns-gehts-ja-noch-gold_1972"
"auch" 0.695902639592793 0.632387127804548 0.524997017062403 0.627759712476468 0.62637213996608 0.461409724014421 0.69420554482345 0.513398176028421 0.664744570312775 0.575719904624101 0.587673963775852
"an" 0.701399500884995 0.543318518254612 0.474883665433719 0.643505048776314 0.53480943512054 0.688204334123204 0.62275618125204 0.64770487186708 0.630203229967785 0.531904053475718 0.457289708147126
"hatte" 1.20711073976759 0.191497510532363 0.633575945591218 0.816703748074619 0.559781081896597 0.649883865518617 0.803584817451287 0.838333730476789 0.107148647600787 0.360716542012268 0.521537022514904
"ich" 0.124229065203769 0.50323764395714 1.06192578451259 0.128016429916139 1.51598705636309 0.150935723279294 0.162304727125178 0.0584883998007062 0.14239491325894 1.79848784364874 1.09976285182491
"wie" 0.493618144039753 0.602994486653069 0.644314520940222 0.452507273660791 0.564983508308275 0.574024978689127 0.559245635855231 0.543725494443602 0.598481590875447 0.674560313028592 0.703886017705804
"eine" 0.509009355657919 0.512144504912134 0.53334924233385 0.611329796337498 0.523364097014848 0.53570451008454 0.633341272151508 0.682364664341572 0.495562495153638 0.615459862642401 0.618852807513157
"daß" 0.456239487252779 0.502346957861641 0.326929960625224 0.577785384220435 0.784525902881104 0.727306853107477 0.623638272160329 0.78634404176505 0.592842188370142 0.546169679431005 0.284388847422076
"dann" 0.483723793713789 0.552225379209605 0.547667342799189 0.596269039876776 0.700246595011914 0.414486701233293 0.445455908685949 0.476572146524273 0.530103835498629 0.852880637469686 0.415717916497388
"da" 0.451841998219017 0.710767504208492 0.755279799546594 0.418962861543728 0.538971376249883 0.3495765197194 0.341369181507846 0.411585035634599 0.539972789882912 0.706148484786729 0.696327510133124
"noch" 0.563977968579941 0.513035191007633 0.662212146521895 0.554509669690228 0.545214287943897 0.439512313383228 0.47103654502633 0.502566990880142 0.460316229495485 0.495221015304979 0.636804262998271
"was" 0.494717516298194 0.424857267553196 0.608519269776876 0.511381139825432 0.529607008708862 0.461409724014421 0.532782908606561 0.459242250287026 0.515300403922204 0.617497809207443 0.573501762077078
"ist" 0.266048086542584 1.1231551664247 0.348407111323231 0.255348279993154 0.336076746194425 0.199422846819792 0.284033272469061 0.259948443558694 1.45778554762123 0.44019645804887 0.3269054525184
"im" 0.51010872791636 0.454249908704675 0.456986039852046 0.546979291459866 0.513999729473827 0.433255910345744 0.452512635952261 0.444078591079436 0.508251150790574 0.408608286290733 0.49413743256394
"aus" 0.496916260815075 0.480079805474157 0.422383963727479 0.47441382851275 0.434922848016315 0.40823029819581 0.502791817724735 0.465740961375994 0.448332499171713 0.412684179420816 0.434614185429087
"ja" 0.375985312386627 0.453359222609176 0.604939744660542 0.369673113126818 0.26012132058392 0.283102237446136 0.285797454285639 0.246951021380759 0.401102503189787 0.514581507672869 0.638693889891441
"aber" 0.501313749848836 0.325991110952767 0.422383963727479 0.468252609960637 0.258040350019249 0.27215353213054 0.53366499951485 0.329268028507679 0.310167137791751 0.369887301554953 0.443117506448352
"mal" 0.322116071723046 0.365181299154739 0.447440639541821 0.381995550231046 0.440125274427993 0.269807380991483 0.309613908809442 0.272945865736629 0.336249374378785 0.474841549654568 0.555550306591963
"einen" 0.328712305273689 0.338460716289758 0.367497911943682 0.37172685264419 0.318388496394719 0.338627814403804 0.386355817830586 0.381257717219418 0.34893803001572 0.376001141250076 0.378870192080574
"als" 0.323215443981487 0.33578865800326 0.375850137215129 0.376518911518056 0.402667804263909 0.388679038703673 0.363421454215071 0.420249983753222 0.291839079649511 0.370906274837474 0.305174743246946
"wenn" 0.290234276228274 0.444452361654182 0.439088414270373 0.297792230018826 0.354805481276467 0.274499683269596 0.224933181613697 0.251283495440071 0.397577876623972 0.567568118363937 0.342967281110345
"nach" 0.328712305273689 0.358055810390744 0.297100584655769 0.35529693650522 0.371453245793838 0.31516630301324 0.27609445429446 0.320603080389056 0.285494751831044 0.321995557276488 0.3269054525184
"hat" 0.108837853585603 0.82566601052791 0.134828779381935 0.131439329111758 0.185206380255751 0.123563959990303 0.165833090758334 0.162467777224184 0.932616189314742 0.319957610711447 0.0784195160665527
"für" 0.286936159452952 0.260971025981313 0.270850733802649 0.328598322779394 0.31318606998304 0.315948353392926 0.341369181507846 0.383423954249074 0.310167137791751 0.311805824451283 0.238092988539413
"ihm" 0.319917327206165 0.233359757020833 0.171817205584059 0.386787609104912 0.147748910091667 0.450461018698825 0.60511436308626 0.340099213655958 0.230510577404324 0.208889522916709 0.148335711113841
"doch" 0.338606655599653 0.243157304071326 0.417611263572366 0.233441725141195 0.238271129654871 0.265897129093056 0.284033272469061 0.229621125143513 0.219231772393715 0.423892885528541 0.33068470630474
