"brief_11" "brief_13" "brief_16" "brief_22" "brief_27" "brief_31" "brief_37" "brief_42" "brief_46" "brief_48" "brief_50" "mutter_1" "mutter_10" "mutter_14" "mutter_18" "mutter_20" "mutter_24" "mutter_26" "mutter_29" "mutter_3" "mutter_34" "mutter_36" "mutter_40" "mutter_44" "mutter_49" "mutter_5" "mutter_52" "mutter_55" "mutter_7" "robert_21" "robert_33" "robert_35" "robert_38" "robert_45" "robert_53" "robert_8" "walter_12" "walter_15" "walter_17" "walter_19" "walter_2" "walter_23" "walter_25" "walter_28" "walter_30" "walter_32" "walter_39" "walter_4" "walter_41" "walter_43" "walter_47" "walter_51" "walter_54" "walter_56" "walter_6" "walter_9"
"sich" 0.458715596330275 0.867052023121387 0.680272108843537 0.900900900900901 0.72463768115942 1.60550458715596 0.593471810089021 1.50375939849624 0.99009900990099 0.66815144766147 0.821917808219178 1.00882723833544 0.404858299595142 0.472366556447804 0.670322973796466 0.48048048048048 0.540865384615385 1.04662226450999 0.53475935828877 0.989010989010989 1.45569620253165 0.803402646502836 1.05708245243129 0.810611643330877 0.42836744407425 1.28314798973482 0.72463768115942 0.27002700270027 0.875486381322957 1.21212121212121 1.52526215443279 0.785973397823458 1.29958960328317 1.05215004574565 1.00076982294072 0.754581386992454 1.19118522930316 1.23339658444023 1.21654501216545 0.748416810592976 0.931372549019608 0.980392156862745 1.04329681794471 1.11835973904939 1.08303249097473 1.13864701942398 1.19549929676512 0.838677849037987 1.42857142857143 1.25223613595707 1.29366106080207 0.863687570409313 1.17395944503735 0.949050949050949 0.922944837948057 0.911602209944751
"man" 0.458715596330275 1.44508670520231 0.408163265306122 0.900900900900901 0.36231884057971 0.688073394495413 0.593471810089021 1.12781954887218 1.18811881188119 0.89086859688196 0.273972602739726 0 0.867553499132447 0.188946622579121 0.670322973796466 0.24024024024024 0.78125 1.04662226450999 1.92513368983957 0.32967032967033 1.0126582278481 1.03969754253308 0.916138125440451 0.810611643330877 0.523560209424084 0.855431993156544 0.62111801242236 0.63006300630063 0.389105058365759 1.0207336523126 2.09723546234509 1.33010882708585 1.43638850889193 1.37236962488564 1.4626635873749 1.3295005389867 0.893388921977368 0.759013282732448 0.778588807785888 1.20898100172712 1.25 0.792657488527326 1.04329681794471 0.838769804287046 0.962695547533093 1.03817816476892 0.843881856540084 0.888011840157869 1.03896103896104 0.655933214072749 0.937904269081501 1.20165227187383 1.17395944503735 1.54845154845155 1.3092938398798 0.718232044198895
"ein" 1.37614678899083 0 0.408163265306122 0.900900900900901 1.08695652173913 0.458715596330275 1.18694362017804 1.12781954887218 1.38613861386139 0.22271714922049 1.64383561643836 1.13493064312736 1.04106419895894 0.991969768540387 1.2187690432663 0.720720720720721 0.961538461538462 0.856327307326356 0.748663101604278 0.659340659340659 0.759493670886076 1.27599243856333 1.19802677942213 0.589535740604274 0.809138505473584 0.855431993156544 0.5175983436853 0.63006300630063 0.680933852140078 1.37161084529506 0.476644423260248 0.785973397823458 1.57318741450068 0.869167429094236 0.384911470361817 1.22170319798778 1.01250744490768 0.759013282732448 0.632603406326034 0.921128382268279 1.20098039215686 0.625782227784731 0.938967136150235 0.869835352593973 1.02286401925391 1.13864701942398 1.05485232067511 1.23334977799704 1.12554112554113 0.954084675014908 0.582147477360931 0.938790837401427 1.17395944503735 0.799200799200799 0.708306503541533 1.04972375690608
"mit" 0.458715596330275 0.289017341040462 0.408163265306122 0.900900900900901 0 1.8348623853211 1.48367952522255 0.93984962406015 0.594059405940594 1.11358574610245 0 0.504413619167718 0.520532099479468 1.03920642418517 0.914076782449726 0.840840840840841 0.78125 1.04662226450999 0.641711229946524 0.43956043956044 0.632911392405063 0.661625708884688 0.98661028893587 0.589535740604274 0.475963826749167 0.684345594525235 0.41407867494824 0.81008100810081 0.680933852140078 1.18022328548644 0.762631077216397 0.60459492140266 1.16279069767442 1.32662397072278 0.769822940723634 0.898311174991017 0.714711137581894 0.759013282732448 0.97323600973236 1.15141047783535 1.07843137254902 0.917813934084272 1.35628586332812 1.11835973904939 1.02286401925391 0.837240455458808 0.914205344585091 0.740009866798224 0.779220779220779 0.834824090638044 0.937904269081501 0.788584303417199 1.12059765208111 1.2987012987013 0.987336338270015 1.49171270718232
"dann" 0.458715596330275 0.867052023121387 0.272108843537415 0.45045045045045 0.36231884057971 0.688073394495413 0 0.75187969924812 0.198019801980198 0.22271714922049 0.273972602739726 1.13493064312736 1.04106419895894 1.41709966934341 0.670322973796466 0.660660660660661 0.901442307692308 0.951474785918173 1.60427807486631 1.20879120879121 0.759493670886076 0.850661625708885 0.704721634954193 0.294767870302137 1.09471680152308 1.28314798973482 1.0351966873706 1.89018901890189 0.972762645914397 0.861244019138756 0.285986653956149 1.08827085852479 0.752393980848153 0.869167429094236 1.07775211701309 0.754581386992454 0.952948183442525 0.853889943074004 1.02189781021898 1.20898100172712 0.637254901960784 0.917813934084272 1.14762649973918 0.621310966138552 0.661853188929001 0.669792364367046 0.879043600562588 0.93734583127775 0.519480519480519 0.894454382826476 0.776196636481242 0.63837776943297 0.693703308431163 0.899100899100899 0.965872504829362 0.74585635359116
"auf" 0 0.289017341040462 0.272108843537415 0 0.36231884057971 0.688073394495413 0.29673590504451 0 0.594059405940594 0.44543429844098 0.547945205479452 1.00882723833544 0.92539039907461 0.708549834671705 0.548446069469835 1.26126126126126 0.961538461538462 0.856327307326356 0.748663101604278 0.989010989010989 0.822784810126582 1.03969754253308 0.563777307963354 0.294767870302137 0.713945740123751 0.598802395209581 0.72463768115942 1.26012601260126 0.583657587548638 1.08452950558214 0.762631077216397 0.846432889963724 0.957592339261286 0.960658737419945 0.846805234795997 0.754581386992454 1.01250744490768 0.664136622390892 0.632603406326034 0.460564191134139 1.22549019607843 0.771798080934501 0.573813249869588 0.465983224603914 1.323706377858 0.770261219022103 0.984528832630098 0.986679822397632 0.476190476190476 0.894454382826476 0.452781371280724 0.826135936913256 0.907150480256137 1.2987012987013 0.622451169778923 0.883977900552486
"zu" 0.458715596330275 0.867052023121387 0.816326530612245 0.45045045045045 0 0.229357798165138 0.593471810089021 0.37593984962406 0.99009900990099 1.11358574610245 0.547945205479452 0.630517023959647 0.404858299595142 0.803023145961266 0.60938452163315 0.720720720720721 0.600961538461538 1.14176974310181 0.641711229946524 1.0989010989011 0.569620253164557 0.850661625708885 0.775193798449612 1.54753131908622 0.618752974773917 1.71086398631309 0.62111801242236 1.08010801080108 1.07003891050584 1.21212121212121 1.23927550047664 0.483675937122128 0.512995896032832 1.23513266239707 1.00076982294072 0.574919151994251 1.01250744490768 0.47438330170778 1.11922141119221 0.748416810592976 0.465686274509804 0.81351689612015 0.625978090766823 0.807704255980118 0.72202166064982 0.736771600803751 1.12517580872011 0.740009866798224 0.779220779220779 0.775193798449612 1.16429495472186 0.63837776943297 0.747065101387407 0.849150849150849 0.579523502897618 0.74585635359116
"es" 0.458715596330275 1.44508670520231 1.7687074829932 0.45045045045045 1.81159420289855 0.458715596330275 0.890207715133531 0.93984962406015 1.58415841584158 1.55902004454343 0.547945205479452 0.630517023959647 0.92539039907461 0.944733112895607 0.670322973796466 1.08108108108108 0.901442307692308 1.23691722169363 1.28342245989305 0.32967032967033 1.39240506329114 0.992438563327032 1.19802677942213 2.06337509211496 1.09471680152308 0.76988879384089 0.82815734989648 0.72007200720072 0.972762645914397 0.76555023923445 1.14394661582459 0.362756952841596 0.615595075239398 0.960658737419945 1.15473441108545 0.862378727991376 0.357355568790947 0.47438330170778 0.583941605839416 1.09383995394358 0.465686274509804 0.33375052148519 0.208659363588941 0.497048772910842 0.601684717208183 0.502344273275285 0.281293952180028 0.444005920078934 0.476190476190476 0.417412045319022 0.970245795601552 0.751032669921142 0.426894343649947 0.549450549450549 0.643915003219575 0.580110497237569
"war" 0 0 0.272108843537415 0.225225225225225 0.72463768115942 0 0 0.18796992481203 0 0.44543429844098 0.273972602739726 1.63934426229508 1.5615962984384 1.32262635805385 1.52346130408288 1.8018018018018 1.62259615384615 1.71265461465271 1.71122994652406 1.0989010989011 1.20253164556962 1.60680529300567 0.98661028893587 0.957995578481945 0.904331270823417 1.28314798973482 0.82815734989648 0.54005400540054 1.65369649805447 1.0207336523126 0.381315538608198 0.544135429262394 1.09439124487004 1.14364135407136 0.69284064665127 1.11390585698886 0.0595592614651578 0.189753320683112 0.340632603406326 0.748416810592976 0.17156862745098 0.375469336670839 0.156494522691706 0.528114321217769 0.601684717208183 0.100468854655057 0.527426160337553 0.29600394671929 0.432900432900433 0.178890876565295 0.485122897800776 0.675929402929027 0.586979722518677 0.2997002997003 0.25756600128783 0.801104972375691
"da" 0 0 0.272108843537415 0.225225225225225 0 0.229357798165138 0.29673590504451 0.18796992481203 0.396039603960396 0.66815144766147 0.273972602739726 0.630517023959647 0.809716599190283 0.708549834671705 0.731261425959781 0.840840840840841 0.841346153846154 0.761179828734538 0.641711229946524 1.0989010989011 0.253164556962025 0.614366729678639 0.916138125440451 0.442151805453206 1.28510233222275 0.940975192472198 0.62111801242236 1.26012601260126 0.583657587548638 0.478468899521531 1.42993326978074 0.60459492140266 0.786593707250342 0.960658737419945 1.00076982294072 1.1498383039885 0.714711137581894 0.94876660341556 0.48661800486618 0.921128382268279 0.514705882352941 0.980392156862745 0.834637454355764 0.683442062752408 0.541516245487365 0.569323509711989 0.668073136427567 0.542673902318698 0.38961038961039 0.834824090638044 0.54980595084088 0.788584303417199 0.80042689434365 0.599400599400599 0.579523502897618 0.524861878453039
